order_id,order_date,category,region,channel,customer_segment,payment_method,customer_id,unit_price,quantity,discount_pct_of_price,revenue,satisfaction_score,delivery_days
ORD-104110,2024-01-03,Sports,North,Online,New,Gift Card,CUST-1119,199.57,2,4.3,382.34,4.2,
ORD-103190,2024-01-03,Home & Garden,Central,Online,VIP,Gift Card,CUST-1490,232.65,2,14.7,397.28,3.9,3.0
ORD-101293,2024-01-04,Electronics,West,In-Store,VIP,Debit Card,CUST-2651,1014.74,1,2.7,988.76,4.6,0.0
ORD-101236,2024-01-04,Apparel,East,In-Store,New,Credit Card,CUST-2484,98.88,1,0.0,99.02,2.8,2.0
ORD-100772,2024-01-04,Sports,Central,Mobile App,New,PayPal,CUST-1533,111.2,1,3.5,107.46,5.0,6.0
ORD-101549,2024-01-04,Sports,South,Online,Returning,PayPal,CUST-2378,233.56,1,9.3,212.14,3.6,6.0
ORD-100380,2024-01-04,Electronics,South,Online,Returning,Credit Card,CUST-3404,1111.39,1,2.8,1081.82,3.5,
ORD-103233,2024-01-04,Beauty,Central,In-Store,Returning,Credit Card,CUST-2603,47.07,1,1.6,46.38,3.4,0.0
ORD-103216,2024-01-04,Beauty,East,Online,Returning,Gift Card,CUST-2434,106.44,4,7.9,392.69,3.7,7.0
ORD-102788,2024-01-04,Apparel,East,In-Store,Returning,Gift Card,CUST-2790,52.02,1,16.7,43.39,4.1,2.0
ORD-104597,2024-01-04,Apparel,North,In-Store,VIP,Credit Card,CUST-2150,41.88,2,12.6,73.31,4.5,0.0
ORD-100845,2024-01-04,Sports,East,Mobile App,New,Gift Card,CUST-2262,89.31,1,2.2,87.47,,5.0
ORD-100900,2024-01-04,Electronics,East,Online,Returning,Gift Card,CUST-2510,828.1,1,1.9,813.53,,6.0
ORD-102627,2024-01-04,Electronics,Central,Online,Returning,Debit Card,CUST-1018,1041.38,1,12.7,910.43,3.5,6.0
ORD-102645,2024-01-05,Beauty,Central,Online,Returning,Debit Card,CUST-2073,134.18,3,4.0,387.18,2.1,6.0
ORD-100844,2024-01-05,Home & Garden,West,Online,Returning,Credit Card,CUST-1840,56.96,3,6.6,159.91,4.7,7.0
ORD-102400,2024-01-05,Home & Garden,North,Mobile App,New,Gift Card,CUST-2331,317.52,2,0.0,636.26,3.0,6.0
ORD-100464,2024-01-05,Apparel,North,Online,Returning,Debit Card,CUST-2250,33.45,1,,32.27,4.9,4.0
ORD-104884,2024-01-05,Electronics,East,Online,VIP,Gift Card,CUST-1852,1176.91,2,13.5,2039.96,4.4,6.0
ORD-104054,2024-01-05,Electronics,West,Mobile App,New,PayPal,CUST-2490,639.94,1,7.5,593.08,4.2,7.0
ORD-103398,2024-01-06,Home & Garden,North,Online,Returning,Gift Card,CUST-3288,436.14,4,1.4,1724.26,,5.0
ORD-100574,2024-01-06,Beauty,Central,Online,Returning,PayPal,CUST-1144,81.9,5,7.4,380.11,3.7,5.0
ORD-101278,2024-01-06,Beauty,Central,Online,New,PayPal,CUST-3144,6.01,3,0.0,18.07,3.7,5.0
ORD-104688,2024-01-06,Electronics,North,Online,New,Gift Card,CUST-2696,299.65,3,5.5,851.54,3.5,4.0
ORD-102201,2024-01-06,Home & Garden,North,In-Store,Returning,Gift Card,CUST-1023,259.72,5,7.9,1198.88,5.0,0.0
ORD-100103,2024-01-06,Beauty,East,Online,New,PayPal,CUST-3425,55.2,2,8.6,101.15,3.9,4.0
ORD-101189,2024-01-06,Apparel,West,Online,New,Credit Card,CUST-1368,143.8,3,3.8,416.0,4.4,5.0
ORD-100706,2024-01-06,Electronics,South,Online,Returning,Gift Card,CUST-2426,1078.08,1,12.0,950.98,3.8,4.0
ORD-104360,2024-01-06,Electronics,Central,Mobile App,Returning,Credit Card,CUST-2759,152.95,1,9.3,139.06,4.1,7.0
ORD-101531,2024-01-07,Apparel,Central,In-Store,Returning,Credit Card,CUST-1563,89.88,1,8.7,82.3,,1.0
ORD-101806,2024-01-07,Home & Garden,West,Online,New,PayPal,CUST-2014,320.1,1,4.5,306.57,3.4,6.0
ORD-101174,2024-01-07,Beauty,North,In-Store,VIP,PayPal,CUST-2921,81.44,1,12.6,71.38,4.9,0.0
ORD-103724,2024-01-07,Home & Garden,North,Online,Returning,Debit Card,CUST-1852,132.97,1,5.0,126.68,3.5,4.0
ORD-102442,2024-01-07,Home & Garden,West,In-Store,New,Credit Card,CUST-1719,458.41,2,0.0,919.46,3.9,0.0
ORD-104767,2024-01-07,Sports,North,Online,New,Gift Card,CUST-3237,32.42,1,3.0,31.54,4.1,7.0
ORD-104130,2024-01-07,Sports,West,Online,New,,CUST-1945,258.42,5,6.4,1212.88,3.2,3.0
ORD-101069,2024-01-08,Apparel,West,Mobile App,Returning,PayPal,CUST-1659,171.36,3,0.2,514.77,3.8,4.0
ORD-101762,2024-01-08,Apparel,West,Online,Returning,Credit Card,CUST-2597,177.84,2,0.0,356.87,5.0,
ORD-104787,2024-01-08,Electronics,West,In-Store,New,Gift Card,CUST-3485,889.51,4,0.0,3569.98,4.2,6.0
ORD-103798,2024-01-08,Apparel,West,Online,Returning,Credit Card,CUST-1826,59.79,1,3.8,57.71,4.8,7.0
ORD-100302,2024-01-08,Electronics,South,Online,Returning,PayPal,CUST-2047,582.09,1,9.5,528.56,5.0,
ORD-104392,2024-01-09,Electronics,East,Online,Returning,Gift Card,CUST-2872,406.37,1,1.5,401.81,3.8,5.0
ORD-100800,2024-01-09,Toys,West,In-Store,Returning,Credit Card,CUST-3361,71.69,5,8.9,327.8,4.5,0.0
ORD-103821,2024-01-09,Apparel,South,In-Store,Returning,PayPal,CUST-2440,161.36,4,12.6,566.28,3.8,0.0
ORD-103903,2024-01-09,Home & Garden,North,In-Store,Returning,Gift Card,CUST-1673,91.94,2,5.8,173.88,4.4,0.0
ORD-100789,2024-01-09,Home & Garden,South,Mobile App,VIP,Debit Card,CUST-2082,486.2,1,4.0,468.54,4.6,2.0
ORD-101681,2024-01-10,Electronics,North,Mobile App,Returning,PayPal,CUST-2585,904.4,1,10.8,810.21,4.6,4.0
ORD-104045,2024-01-11,Beauty,West,Online,New,Gift Card,CUST-3253,33.66,1,0.0,33.82,3.6,4.0
ORD-101037,2024-01-11,Home & Garden,Central,Mobile App,Returning,PayPal,CUST-1659,497.23,1,3.5,482.13,5.0,5.0
ORD-103102,2024-01-11,Beauty,Central,In-Store,New,Debit Card,CUST-3362,125.43,3,1.9,370.91,5.0,0.0
ORD-104229,2024-01-11,Home & Garden,North,Mobile App,Returning,Gift Card,CUST-2851,121.13,2,7.6,224.92,,5.0
ORD-101120,2024-01-11,Sports,Central,In-Store,New,Debit Card,CUST-2787,325.61,1,1.5,322.26,2.9,3.0
ORD-100838,2024-01-11,Apparel,South,In-Store,Returning,Gift Card,CUST-1081,16.76,1,9.0,15.32,2.5,0.0
ORD-100409,2024-01-11,Home & Garden,South,Online,VIP,PayPal,CUST-2818,155.05,10,19.8,1249.46,5.0,4.0
ORD-104930,2024-01-11,Beauty,South,Online,Returning,PayPal,CUST-1216,103.09,4,12.5,362.54,5.0,4.0
ORD-104103,2024-01-12,Electronics,Central,Online,Returning,Credit Card,CUST-2986,255.22,1,8.2,235.53,3.6,5.0
ORD-100888,2024-01-12,Home & Garden,South,Online,Returning,Debit Card,CUST-2283,348.04,2,12.4,612.98,3.9,4.0
ORD-103135,2024-01-12,Sports,North,Mobile App,Returning,Credit Card,CUST-3444,146.89,2,3.2,285.88,4.5,3.0
ORD-101365,2024-01-13,Apparel,East,Online,New,Debit Card,CUST-2465,129.21,1,0.6,129.17,4.1,4.0
ORD-104504,2024-01-13,Beauty,North,In-Store,Returning,Credit Card,CUST-2818,96.74,1,5.5,91.95,3.9,2.0
ORD-103504,2024-01-13,Electronics,West,Online,Returning,Gift Card,CUST-2714,867.0,1,0.8,865.01,5.0,6.0
ORD-101623,2024-01-13,Apparel,South,In-Store,New,PayPal,CUST-1114,52.9,1,6.1,49.96,4.7,1.0
ORD-102974,2024-01-13,Sports,South,In-Store,Returning,Credit Card,CUST-1447,277.19,1,2.5,271.82,5.0,2.0
ORD-104116,2024-01-14,Apparel,South,In-Store,New,Debit Card,CUST-2059,24.44,2,2.5,47.96,3.2,0.0
ORD-101651,2024-01-14,Home & Garden,South,Online,Returning,Debit Card,CUST-1337,366.47,1,6.0,346.63,4.1,6.0
ORD-101593,2024-01-14,Electronics,North,In-Store,Returning,Debit Card,CUST-1890,226.68,1,3.3,220.57,5.0,2.0
ORD-100414,2024-01-14,Home & Garden,Central,Online,Returning,Gift Card,CUST-2273,261.51,3,6.9,734.95,3.8,6.0
ORD-104526,2024-01-14,Home & Garden,Central,Mobile App,Returning,PayPal,CUST-3168,112.1,3,9.0,307.94,5.0,6.0
ORD-100477,2024-01-14,Sports,Central,Online,VIP,Credit Card,CUST-2406,245.38,1,6.9,229.87,4.1,
ORD-103857,2024-01-14,Toys,Central,Online,Returning,Gift Card,CUST-3351,35.0,1,6.5,32.93,3.7,8.0
ORD-103897,2024-01-14,Electronics,West,In-Store,New,Gift Card,CUST-1737,220.47,1,3.2,214.75,3.2,0.0
ORD-100232,2024-01-15,Home & Garden,South,Online,Returning,Credit Card,CUST-3171,187.42,2,3.5,364.15,3.5,4.0
ORD-102089,2024-01-15,Beauty,North,Online,Returning,Gift Card,CUST-2170,48.99,1,7.6,45.57,5.0,7.0
ORD-103787,2024-01-16,Toys,Central,In-Store,Returning,Gift Card,CUST-2742,40.1,3,11.0,107.84,4.2,1.0
ORD-103803,2024-01-16,Electronics,West,Online,VIP,Credit Card,CUST-2234,442.34,2,3.2,862.53,5.0,4.0
ORD-102170,2024-01-16,Electronics,South,Online,New,Debit Card,CUST-1893,668.02,1,1.9,660.04,3.1,7.0
ORD-100299,2024-01-16,Beauty,South,In-Store,Returning,Credit Card,CUST-1727,105.99,2,15.1,181.27,3.6,2.0
ORD-101528,2024-01-16,Home & Garden,North,In-Store,New,Gift Card,CUST-2264,196.69,4,7.8,730.61,2.9,0.0
ORD-100539,2024-01-16,Sports,West,Mobile App,Returning,PayPal,CUST-2539,252.34,1,7.4,235.35,5.0,2.0
ORD-104562,2024-01-16,Apparel,West,Mobile App,Returning,Gift Card,CUST-3472,141.88,4,0.0,571.6,3.9,3.0
ORD-104061,2024-01-16,Apparel,East,Online,Returning,PayPal,CUST-2933,168.55,1,8.2,155.84,4.5,4.0
ORD-100271,2024-01-17,Beauty,North,Online,Returning,Credit Card,CUST-2308,5.29,1,12.1,4.69,4.0,4.0
ORD-100368,2024-01-17,Toys,East,Online,Returning,Gift Card,CUST-3186,113.25,1,0.0,114.12,3.5,5.0
ORD-100169,2024-01-17,Home & Garden,East,Mobile App,Returning,Credit Card,CUST-2625,130.77,1,0.6,130.98,4.5,1.0
ORD-104075,2024-01-17,Sports,North,Online,New,Debit Card,CUST-1906,303.93,1,8.8,279.31,3.6,6.0
ORD-102137,2024-01-17,Sports,West,In-Store,VIP,Credit Card,CUST-1614,175.25,1,12.8,153.99,4.0,3.0
ORD-103804,2024-01-17,Sports,West,Mobile App,Returning,Credit Card,CUST-3486,329.03,1,0.0,331.55,4.5,6.0
ORD-101166,2024-01-17,Electronics,South,In-Store,New,Credit Card,CUST-2469,572.86,1,7.3,535.11,4.3,0.0
ORD-101743,2024-01-17,Home & Garden,South,Online,Returning,Debit Card,CUST-1310,50.82,3,7.7,141.8,4.8,4.0
ORD-101782,2024-01-18,Sports,East,In-Store,Returning,PayPal,CUST-1326,128.37,1,7.0,120.36,3.2,1.0
ORD-100820,2024-01-18,Electronics,North,Online,VIP,Credit Card,CUST-2462,827.58,5,10.9,3716.92,4.9,
ORD-103118,2024-01-18,Sports,Central,Online,VIP,Debit Card,CUST-1830,319.76,1,6.4,301.73,3.6,5.0
ORD-103946,2024-01-18,Sports,West,Online,New,PayPal,CUST-1218,223.08,1,5.8,211.85,2.9,3.0
ORD-102711,2024-01-18,Apparel,South,Online,Returning,Debit Card,CUST-1921,74.03,2,6.2,140.01,3.4,4.0
ORD-103308,2024-01-18,Electronics,North,Online,New,PayPal,CUST-2529,1149.92,2,10.4,2077.45,4.0,5.0
ORD-102260,2024-01-18,Home & Garden,Central,Online,Returning,Credit Card,CUST-3175,44.18,3,3.5,128.94,4.0,4.0
ORD-103441,2024-01-18,Home & Garden,Central,In-Store,Returning,Credit Card,CUST-3425,201.22,3,7.4,563.55,2.8,0.0
ORD-104699,2024-01-18,Sports,West,Mobile App,Returning,Credit Card,CUST-3337,172.93,4,7.0,648.54,3.8,8.0
ORD-101179,2024-01-19,Electronics,West,Online,Returning,Credit Card,CUST-1378,394.12,2,0.0,795.04,4.7,6.0
ORD-103996,2024-01-19,Home & Garden,North,In-Store,Returning,Credit Card,CUST-3264,116.42,3,13.2,305.77,3.0,4.0
ORD-104259,2024-01-19,Apparel,East,Mobile App,Returning,Credit Card,CUST-1638,178.74,1,6.0,169.47,4.6,5.0
ORD-101398,2024-01-19,Electronics,South,Online,VIP,Gift Card,CUST-2556,398.22,1,8.2,368.72,5.0,4.0
ORD-100428,2024-01-19,Apparel,North,Online,Returning,PayPal,CUST-3032,83.85,2,0.0,169.15,3.9,6.0
ORD-104912,2024-01-19,Electronics,Central,Online,Returning,Credit Card,CUST-1304,921.13,3,10.1,2505.73,4.3,7.0
ORD-100453,2024-01-19,Toys,North,In-Store,Returning,Credit Card,CUST-1888,90.49,3,10.4,245.34,4.6,1.0
ORD-103485,2024-01-20,Apparel,North,Online,Returning,Debit Card,CUST-1000,30.32,1,8.3,28.06,3.4,3.0
ORD-102409,2024-01-20,Electronics,Central,In-Store,New,Credit Card,CUST-3013,813.89,1,0.5,817.2,4.2,1.0
ORD-102468,2024-01-20,Electronics,North,In-Store,Returning,Gift Card,CUST-1340,295.84,1,6.1,280.32,4.3,1.0
ORD-102328,2024-01-20,Beauty,South,Online,Returning,Gift Card,CUST-1725,109.6,1,0.0,110.6,4.5,7.0
ORD-104644,2024-01-20,Beauty,South,In-Store,VIP,Credit Card,CUST-1173,113.78,2,9.7,207.36,3.3,3.0
ORD-102222,2024-01-20,Apparel,East,In-Store,New,Gift Card,CUST-1839,29.7,1,3.2,29.01,4.2,0.0
ORD-102635,2024-01-20,Home & Garden,North,In-Store,New,Debit Card,CUST-1580,186.1,1,0.0,187.8,4.4,1.0
ORD-104714,2024-01-21,Beauty,East,Online,New,Debit Card,CUST-3291,102.58,1,0.0,103.56,3.7,6.0
ORD-100829,2024-01-22,Apparel,East,In-Store,New,PayPal,CUST-3088,109.76,3,2.4,324.61,3.4,1.0
ORD-104534,2024-01-22,Electronics,South,Online,Returning,Credit Card,CUST-2817,751.93,2,11.4,1345.84,4.5,7.0
ORD-101589,2024-01-22,Electronics,South,Online,Returning,Credit Card,CUST-3273,1156.02,1,10.8,1041.55,5.0,5.0
ORD-101943,2024-01-22,Toys,South,Online,Returning,Debit Card,CUST-1631,23.71,3,3.5,69.33,4.5,7.0
ORD-101492,2024-01-22,Electronics,North,In-Store,Returning,Credit Card,CUST-3081,572.45,2,9.2,1050.04,4.6,0.0
ORD-101299,2024-01-22,Apparel,South,In-Store,Returning,Debit Card,CUST-1987,194.57,4,12.1,691.0,3.7,0.0
ORD-104159,2024-01-23,Home & Garden,Central,Online,Returning,Gift Card,CUST-1795,53.33,1,12.5,47.16,,6.0
ORD-101868,2024-01-23,Electronics,West,Mobile App,VIP,PayPal,CUST-3178,650.44,3,14.6,1684.0,4.2,
ORD-103536,2024-01-23,Toys,East,Online,Returning,PayPal,CUST-1995,9.19,1,9.8,8.38,3.6,8.0
ORD-103457,2024-01-23,Electronics,East,In-Store,Returning,Credit Card,CUST-3413,668.26,3,7.7,1869.93,3.2,0.0
ORD-101535,2024-01-23,Apparel,South,In-Store,Returning,PayPal,CUST-1780,96.85,5,0.0,489.36,,0.0
ORD-104530,2024-01-23,Electronics,North,In-Store,Returning,Debit Card,CUST-2446,117.77,1,7.5,110.09,4.6,0.0
ORD-102558,2024-01-23,Sports,West,Mobile App,Returning,Debit Card,CUST-3189,78.71,2,0.0,159.08,3.6,
ORD-100137,2024-01-23,Electronics,Central,In-Store,New,Gift Card,CUST-3363,179.9,2,3.4,351.23,3.9,1.0
ORD-104641,2024-01-24,Sports,East,Online,VIP,PayPal,CUST-3084,186.13,1,15.4,159.2,4.3,4.0
ORD-102498,2024-01-24,Apparel,South,Online,Returning,Credit Card,CUST-3362,194.97,1,3.9,189.43,4.7,6.0
ORD-104035,2024-01-24,Electronics,South,Online,New,PayPal,CUST-2988,350.59,1,1.4,349.49,3.1,6.0
ORD-104243,2024-01-24,Electronics,South,In-Store,Returning,Credit Card,CUST-2805,838.79,2,3.1,1643.5,3.9,0.0
ORD-102950,2024-01-24,Electronics,East,Online,Returning,PayPal,CUST-2145,307.2,3,10.4,834.86,3.3,5.0
ORD-100384,2024-01-24,Home & Garden,North,Mobile App,Returning,Credit Card,CUST-1814,360.0,2,4.9,692.27,2.8,6.0
ORD-103681,2024-01-24,Home & Garden,North,In-Store,New,Gift Card,CUST-1668,352.58,4,4.7,1358.86,,0.0
ORD-102262,2024-01-24,Toys,West,In-Store,Returning,Debit Card,CUST-2151,72.69,1,0.1,73.42,3.7,0.0
ORD-100786,2024-01-24,Sports,South,Mobile App,Returning,PayPal,CUST-3259,237.35,1,4.6,228.93,4.2,3.0
ORD-104274,2024-01-25,Home & Garden,North,Online,Returning,Gift Card,CUST-1377,130.0,1,10.2,118.08,3.7,4.0
ORD-104303,2024-01-25,Apparel,West,In-Store,New,Gift Card,CUST-3008,62.73,2,13.1,110.28,4.0,1.0
ORD-100662,2024-01-26,Electronics,North,Mobile App,VIP,Gift Card,CUST-2179,1107.68,1,0.0,1120.96,4.4,3.0
ORD-104002,2024-01-26,Home & Garden,East,Online,Returning,Gift Card,CUST-2007,260.66,1,1.3,260.36,3.5,7.0
ORD-102865,2024-01-26,Toys,North,Mobile App,Returning,PayPal,CUST-1980,52.6,1,10.6,47.59,4.0,5.0
ORD-102321,2024-01-26,Apparel,Central,In-Store,New,Gift Card,CUST-1955,92.34,3,0.0,280.34,5.0,1.0
ORD-101682,2024-01-26,Sports,South,In-Store,New,PayPal,CUST-2734,21.58,10,5.0,207.47,4.0,3.0
ORD-103319,2024-01-26,Apparel,South,In-Store,VIP,Gift Card,CUST-3135,174.64,2,12.8,308.22,3.9,0.0
ORD-100146,2024-01-26,Sports,North,Online,Returning,PayPal,CUST-2399,219.24,1,7.4,205.45,3.4,8.0
ORD-101445,2024-01-27,Beauty,West,In-Store,Returning,Credit Card,CUST-2709,29.78,5,9.1,137.04,3.9,0.0
ORD-101908,2024-01-27,Beauty,West,Online,Returning,Debit Card,CUST-2529,70.53,4,3.7,275.07,4.7,6.0
ORD-100969,2024-01-27,Toys,South,Online,Returning,Gift Card,CUST-1061,14.94,3,10.4,40.66,4.0,7.0
ORD-102763,2024-01-27,Beauty,South,Online,Returning,Credit Card,CUST-1623,38.42,2,5.9,73.21,3.9,5.0
ORD-100843,2024-01-27,Electronics,South,Online,Returning,Credit Card,CUST-2849,906.91,3,0.8,2732.61,4.0,4.0
ORD-104551,2024-01-27,Apparel,North,Online,New,Credit Card,CUST-1562,47.44,1,0.0,48.03,3.4,5.0
ORD-104298,2024-01-27,Home & Garden,North,Online,New,Credit Card,CUST-3380,355.81,1,4.3,344.75,3.3,6.0
ORD-104944,2024-01-27,Electronics,East,Mobile App,Returning,PayPal,CUST-1750,97.36,2,0.1,196.95,4.3,5.0
ORD-103544,2024-01-28,Home & Garden,East,In-Store,Returning,PayPal,CUST-3019,463.4,3,2.5,1372.99,3.2,2.0
ORD-103754,2024-01-28,Toys,East,Online,Returning,Credit Card,CUST-2259,98.91,3,3.4,290.35,3.4,6.0
ORD-100327,2024-01-28,Electronics,North,Online,Returning,Debit Card,CUST-1216,391.54,2,7.9,730.55,4.3,7.0
ORD-104968,2024-01-28,Beauty,South,In-Store,New,Gift Card,CUST-1079,18.83,1,2.6,18.58,3.1,2.0
ORD-101265,2024-01-28,Beauty,South,In-Store,Returning,PayPal,CUST-1976,20.16,3,4.5,58.51,3.9,0.0
ORD-100116,2024-01-28,Electronics,South,In-Store,VIP,Gift Card,CUST-2018,883.58,1,11.6,791.2,4.2,0.0
ORD-103632,2024-01-28,Sports,North,Online,New,PayPal,CUST-2115,175.88,3,0.8,530.19,4.0,4.0
ORD-104235,2024-01-29,Toys,Central,Mobile App,Returning,PayPal,CUST-3058,76.62,2,4.0,149.09,3.2,4.0
ORD-102202,2024-01-29,Apparel,Central,In-Store,Returning,Debit Card,CUST-3477,79.9,1,9.8,73.04,3.1,1.0
ORD-104193,2024-01-29,Beauty,South,Online,VIP,PayPal,CUST-2543,28.57,5,7.4,134.05,3.1,4.0
ORD-102629,2024-01-29,Toys,South,Online,New,PayPal,CUST-2156,87.45,3,2.1,260.29,4.8,4.0
ORD-103239,2024-01-29,Apparel,South,Online,New,Gift Card,CUST-2508,78.81,2,1.7,157.02,4.1,4.0
ORD-104591,2024-01-29,Home & Garden,North,Mobile App,VIP,PayPal,CUST-2462,383.72,2,13.6,671.97,4.7,6.0
ORD-104457,2024-01-29,Home & Garden,North,Online,Returning,PayPal,CUST-1434,218.99,3,14.6,568.58,4.3,5.0
ORD-104750,2024-01-30,Home & Garden,North,In-Store,Returning,PayPal,CUST-2092,31.32,1,10.3,28.48,4.0,1.0
ORD-102880,2024-01-30,Electronics,West,Online,Returning,Debit Card,CUST-3103,303.37,1,2.1,301.13,3.5,5.0
ORD-102771,2024-01-30,Beauty,Central,In-Store,Returning,Debit Card,CUST-3160,128.35,3,0.9,386.89,4.3,0.0
ORD-101239,2024-01-30,Home & Garden,East,In-Store,New,Credit Card,CUST-1595,69.54,1,4.0,67.69,4.1,3.0
ORD-102727,2024-01-30,Electronics,North,In-Store,Returning,PayPal,CUST-2057,751.13,1,9.7,687.7,3.5,1.0
ORD-100869,2024-01-30,Home & Garden,North,In-Store,New,Debit Card,CUST-2865,98.34,1,0.0,99.71,3.9,0.0
ORD-102037,2024-01-30,Beauty,North,Mobile App,New,Debit Card,CUST-2174,14.12,5,3.4,69.15,2.6,6.0
ORD-101018,2024-01-31,Home & Garden,East,Online,Returning,Debit Card,CUST-2068,479.68,2,7.2,903.09,4.2,4.0
ORD-100249,2024-01-31,Electronics,West,Online,Returning,Debit Card,CUST-3054,1139.95,3,7.2,3219.27,4.1,6.0
ORD-101098,2024-01-31,Toys,South,Online,New,PayPal,CUST-1689,59.65,2,1.1,119.68,2.9,5.0
ORD-104188,2024-01-31,Home & Garden,East,In-Store,VIP,PayPal,CUST-2641,360.33,4,14.2,1254.44,4.5,2.0
ORD-104091,2024-01-31,Sports,North,In-Store,Returning,PayPal,CUST-1989,76.91,1,7.9,71.85,,0.0
ORD-101451,2024-01-31,Toys,East,In-Store,Returning,Credit Card,CUST-1187,53.92,2,9.7,98.78,3.7,
ORD-100901,2024-01-31,Beauty,North,Online,Returning,Gift Card,CUST-1174,42.83,2,11.0,77.33,3.4,7.0
ORD-100561,2024-02-01,Home & Garden,North,Mobile App,New,Credit Card,CUST-2319,285.4,3,1.8,853.29,3.9,2.0
ORD-104319,2024-02-01,Toys,South,In-Store,VIP,Credit Card,CUST-2078,51.23,1,8.8,47.42,4.3,4.0
ORD-103879,2024-02-01,Home & Garden,South,Online,VIP,Credit Card,CUST-2815,332.46,4,14.3,1156.61,4.1,5.0
ORD-101870,2024-02-01,Apparel,Central,In-Store,Returning,,CUST-1304,131.04,2,11.0,236.72,4.4,1.0
ORD-102338,2024-02-01,Electronics,Central,In-Store,Returning,PayPal,CUST-1716,1045.99,1,1.6,1044.55,4.6,2.0
ORD-100816,2024-02-01,Sports,Central,Online,New,PayPal,CUST-3069,195.08,5,1.4,976.04,3.5,3.0
ORD-104595,2024-02-01,Apparel,South,In-Store,Returning,PayPal,CUST-1191,59.42,1,4.4,57.65,4.1,0.0
ORD-100055,2024-02-02,Sports,Central,Online,New,PayPal,CUST-2939,147.33,4,4.5,571.44,4.2,4.0
ORD-102521,2024-02-02,Beauty,South,Mobile App,VIP,PayPal,CUST-2189,35.87,1,10.0,32.78,4.6,4.0
ORD-102779,2024-02-02,Sports,Central,Mobile App,Returning,Credit Card,CUST-3374,148.06,2,2.1,294.35,4.9,4.0
ORD-101109,2024-02-02,Apparel,North,Online,VIP,Debit Card,CUST-1943,171.26,1,23.6,132.85,3.1,6.0
ORD-100396,2024-02-02,Toys,East,Online,VIP,Debit Card,CUST-3157,69.14,1,9.8,63.32,3.8,6.0
ORD-104550,2024-02-02,Toys,East,In-Store,Returning,Gift Card,CUST-2581,114.88,2,1.4,230.02,3.5,2.0
ORD-104268,2024-02-02,Beauty,North,Online,VIP,Gift Card,CUST-2341,74.32,1,22.4,58.56,3.5,6.0
ORD-102370,2024-02-02,Home & Garden,North,In-Store,Returning,PayPal,CUST-1767,320.92,4,0.0,1303.37,3.9,0.0
ORD-104775,2024-02-02,Beauty,South,In-Store,VIP,Gift Card,CUST-2135,79.72,1,8.7,73.9,4.5,1.0
ORD-100810,2024-02-02,Toys,Central,In-Store,New,Debit Card,CUST-1871,42.91,1,0.0,43.57,,0.0
ORD-100351,2024-02-02,Home & Garden,West,Mobile App,Returning,Debit Card,CUST-2475,434.95,2,9.1,802.87,4.3,6.0
ORD-103851,2024-02-03,Toys,South,Online,Returning,PayPal,CUST-2455,73.7,2,9.1,136.11,4.5,5.0
ORD-103012,2024-02-03,Home & Garden,North,Mobile App,Returning,PayPal,CUST-2728,445.81,1,7.0,421.16,3.8,
ORD-104126,2024-02-03,Sports,North,Online,Returning,Gift Card,CUST-1579,340.95,1,11.4,306.86,4.3,3.0
ORD-101805,2024-02-03,Electronics,East,Online,New,Credit Card,CUST-2843,1162.93,3,1.6,3487.29,4.1,7.0
ORD-103362,2024-02-03,Sports,South,Online,New,Gift Card,CUST-1045,155.23,2,7.2,292.67,3.4,7.0
